,Pclass,Sex,Fare,Embarked,IsAlone,Title,Survived
0,3,1,0,1,0.0,1,0
1,1,0,3,0,0.0,3,1
2,3,0,1,1,1.0,2,1
3,1,0,3,1,0.0,3,1
4,3,1,1,1,1.0,1,0
5,3,1,1,2,1.0,1,0
6,1,1,3,1,1.0,1,0
7,3,1,2,1,0.0,4,0
8,3,0,1,1,0.0,3,1
9,2,0,2,0,0.0,3,1
10,3,0,2,1,0.0,2,1
11,1,0,2,1,1.0,2,1
12,3,1,1,1,1.0,1,0
13,3,1,3,1,0.0,1,0
14,3,0,0,1,1.0,2,0
15,2,0,2,1,1.0,3,1
16,3,1,2,2,0.0,4,0
17,2,1,1,1,1.0,1,1
18,3,0,2,1,0.0,3,0
19,3,0,0,0,1.0,3,1
20,2,1,2,1,1.0,1,0
21,2,1,1,1,1.0,1,1
22,3,0,1,2,1.0,2,1
23,1,1,3,1,1.0,1,1
24,3,0,2,1,0.0,2,0
25,3,0,3,1,0.0,3,1
26,3,1,0,0,1.0,1,0
27,1,1,3,1,0.0,1,0
28,3,0,0,2,1.0,2,1
29,3,1,0,1,1.0,1,0
30,1,1,2,0,1.0,5,0
31,1,0,3,0,0.0,3,1
32,3,0,0,2,1.0,2,1
33,2,1,1,1,1.0,1,0
34,1,1,3,0,0.0,1,0
35,1,1,3,1,0.0,1,0
36,3,1,0,0,1.0,1,1
37,3,1,1,1,1.0,1,0
38,3,0,2,1,0.0,2,0
39,3,0,1,0,0.0,2,1
40,3,0,1,1,0.0,3,0
41,2,0,2,1,0.0,3,0
42,3,1,0,0,1.0,1,0
43,2,0,3,0,0.0,2,1
44,3,0,0,2,1.0,2,1
45,3,1,1,1,1.0,1,0
46,3,1,2,2,0.0,1,0
47,3,0,0,2,1.0,2,1
48,3,1,2,0,0.0,1,0
49,3,0,2,1,0.0,3,0
50,3,1,3,1,0.0,4,0
51,3,1,0,1,1.0,1,0
52,1,0,3,0,0.0,3,1
53,2,0,2,1,0.0,3,1
54,1,1,3,0,0.0,1,0
55,1,1,3,1,1.0,1,1
56,2,0,1,1,1.0,2,1
57,3,1,0,0,1.0,1,0
58,2,0,2,1,0.0,2,1
59,3,1,3,1,0.0,4,0
60,3,1,0,0,1.0,1,0
61,1,0,3,1,1.0,2,1
62,1,1,3,1,0.0,1,0
63,3,1,2,1,0.0,4,0
64,1,1,2,0,1.0,1,0
65,3,1,2,0,0.0,4,1
66,2,0,1,1,1.0,3,1
67,3,1,1,1,1.0,1,0
68,3,0,1,1,0.0,2,1
69,3,1,1,1,0.0,1,0
70,2,1,1,1,1.0,1,0
71,3,0,3,1,0.0,2,0
72,2,1,3,1,1.0,1,0
73,3,1,2,0,0.0,1,0
74,3,1,3,1,1.0,1,1
75,3,1,0,1,1.0,1,0
76,3,1,0,1,1.0,1,0
77,3,1,1,1,1.0,1,0
78,2,1,2,1,0.0,4,1
79,3,0,1,1,1.0,2,1
80,3,1,1,1,1.0,1,0
81,3,1,1,1,1.0,1,1
82,3,0,0,2,1.0,2,1
83,1,1,3,1,1.0,1,0
84,2,0,1,1,1.0,2,1
85,3,0,2,1,0.0,3,1
86,3,1,3,1,0.0,1,0
87,3,1,1,1,1.0,1,0
88,1,0,3,1,0.0,2,1
89,3,1,1,1,1.0,1,0
90,3,1,1,1,1.0,1,0
91,3,1,0,1,1.0,1,0
92,1,1,3,1,0.0,1,0
93,3,1,2,1,0.0,1,0
94,3,1,0,1,1.0,1,0
95,3,1,1,1,1.0,1,0
96,1,1,3,0,1.0,1,0
97,1,1,3,0,0.0,1,1
98,2,0,2,1,0.0,3,1
99,2,1,2,1,0.0,1,0
100,3,0,0,1,1.0,2,0
101,3,1,0,1,1.0,1,0
102,1,1,3,1,0.0,1,0
103,3,1,1,1,1.0,1,0
104,3,1,1,1,0.0,1,0
105,3,1,0,1,1.0,1,0
106,3,0,0,1,1.0,2,1
107,3,1,0,1,1.0,1,1
108,3,1,0,1,1.0,1,0
109,3,0,2,2,0.0,2,1
110,1,1,3,1,1.0,1,0
111,3,0,2,0,0.0,2,0
112,3,1,1,1,1.0,1,0
113,3,0,1,1,0.0,2,0
114,3,0,2,0,1.0,2,0
115,3,1,1,1,1.0,1,0
116,3,1,0,2,1.0,1,0
117,2,1,2,1,0.0,1,0
118,1,1,3,0,0.0,1,0
119,3,0,3,1,0.0,2,0
120,2,1,3,1,0.0,1,0
121,3,1,1,1,1.0,1,0
122,2,1,2,0,0.0,1,0
123,2,0,1,1,1.0,2,1
124,1,1,3,1,0.0,1,0
125,3,1,1,0,0.0,4,1
126,3,1,0,2,1.0,1,0
127,3,1,0,1,1.0,1,1
128,3,0,2,0,0.0,2,1
